Nr of Frames	Config	Video	QP	TZSearchConfig	Bit Rate	Y-PSNR	U-PSNR	V-PSNR	Total Time
9	encoder_randomaccess_main.cfg	Traffic	32	0	5718.9867	36.6372	38.3841	40.6560	769.560
9	encoder_randomaccess_main.cfg	Traffic	32	1	5718.9867	36.6372	38.3841	40.6560	775.390
9	encoder_randomaccess_main.cfg	Traffic	32	2	5718.9867	36.6372	38.3841	40.6560	766.750
9	encoder_randomaccess_main.cfg	Traffic	32	3	5718.9867	36.6372	38.3841	40.6560	766.880
9	encoder_randomaccess_main.cfg	Traffic	32	4	5718.9867	36.6372	38.3841	40.6560	773.120
9	encoder_randomaccess_main.cfg	Traffic	32	5	5718.9867	36.6372	38.3841	40.6560	770.680
9	encoder_randomaccess_main.cfg	Traffic	32	6	5718.9867	36.6372	38.3841	40.6560	770.270
9	encoder_randomaccess_main.cfg	Traffic	32	7	5718.9867	36.6372	38.3841	40.6560	768.750
9	encoder_randomaccess_main.cfg	Traffic	32	8	5718.9867	36.6372	38.3841	40.6560	767.810
9	encoder_randomaccess_main.cfg	Traffic	32	9	5718.9867	36.6372	38.3841	40.6560	768.280
9	encoder_randomaccess_main.cfg	Traffic	32	10	5718.9867	36.6372	38.3841	40.6560	772.190
9	encoder_randomaccess_main.cfg	Traffic	32	11	5718.9867	36.6372	38.3841	40.6560	770.770
9	encoder_randomaccess_main.cfg	Traffic	32	12	5718.9867	36.6372	38.3841	40.6560	770.380
9	encoder_randomaccess_main.cfg	Traffic	32	13	5718.9867	36.6372	38.3841	40.6560	768.790
9	encoder_randomaccess_main.cfg	Traffic	32	14	5718.9867	36.6372	38.3841	40.6560	770.720
9	encoder_randomaccess_main.cfg	Traffic	32	15	5718.9867	36.6372	38.3841	40.6560	768.840
9	encoder_randomaccess_main.cfg	Traffic	32	16	5718.9867	36.6372	38.3841	40.6560	769.700
9	encoder_randomaccess_main.cfg	Traffic	32	17	5718.9867	36.6372	38.3841	40.6560	769.740
9	encoder_randomaccess_main.cfg	Traffic	32	18	5718.9867	36.6372	38.3841	40.6560	768.710
9	encoder_randomaccess_main.cfg	Traffic	32	19	5718.9867	36.6372	38.3841	40.6560	768.750
9	encoder_randomaccess_main.cfg	Traffic	32	20	5718.9867	36.6372	38.3841	40.6560	770.990
9	encoder_randomaccess_main.cfg	Traffic	32	21	5718.9867	36.6372	38.3841	40.6560	767.020
9	encoder_randomaccess_main.cfg	Traffic	32	22	5718.9867	36.6372	38.3841	40.6560	769.640
9	encoder_randomaccess_main.cfg	Traffic	32	23	5718.9867	36.6372	38.3841	40.6560	768.350
9	encoder_randomaccess_main.cfg	Traffic	32	24	5718.9867	36.6372	38.3841	40.6560	768.640
9	encoder_randomaccess_main.cfg	Traffic	32	25	5718.9867	36.6372	38.3841	40.6560	768.950
9	encoder_randomaccess_main.cfg	Traffic	32	26	5718.9867	36.6372	38.3841	40.6560	767.750
9	encoder_randomaccess_main.cfg	Traffic	32	27	5718.9867	36.6372	38.3841	40.6560	767.380
9	encoder_randomaccess_main.cfg	Traffic	32	28	5718.9867	36.6372	38.3841	40.6560	768.280
9	encoder_randomaccess_main.cfg	Traffic	32	29	5718.9867	36.6372	38.3841	40.6560	765.860
9	encoder_randomaccess_main.cfg	Traffic	32	30	5718.9867	36.6372	38.3841	40.6560	769.190
9	encoder_randomaccess_main.cfg	Traffic	32	31	5718.9867	36.6372	38.3841	40.6560	771.880
9	encoder_randomaccess_main.cfg	Traffic	37	0	5718.9867	36.6372	38.3841	40.6560	769.550
9	encoder_randomaccess_main.cfg	Traffic	37	1	5718.9867	36.6372	38.3841	40.6560	768.180
9	encoder_randomaccess_main.cfg	Traffic	37	2	5718.9867	36.6372	38.3841	40.6560	767.760
9	encoder_randomaccess_main.cfg	Traffic	37	3	5718.9867	36.6372	38.3841	40.6560	768.750
9	encoder_randomaccess_main.cfg	Traffic	37	4	5718.9867	36.6372	38.3841	40.6560	768.840
9	encoder_randomaccess_main.cfg	Traffic	37	5	5718.9867	36.6372	38.3841	40.6560	768.130
9	encoder_randomaccess_main.cfg	Traffic	37	6	5718.9867	36.6372	38.3841	40.6560	768.050
9	encoder_randomaccess_main.cfg	Traffic	37	7	5718.9867	36.6372	38.3841	40.6560	767.990
9	encoder_randomaccess_main.cfg	Traffic	37	8	5718.9867	36.6372	38.3841	40.6560	767.020
9	encoder_randomaccess_main.cfg	Traffic	37	9	5718.9867	36.6372	38.3841	40.6560	770.580
9	encoder_randomaccess_main.cfg	Traffic	37	10	5718.9867	36.6372	38.3841	40.6560	770.710
9	encoder_randomaccess_main.cfg	Traffic	37	11	5718.9867	36.6372	38.3841	40.6560	767.750
9	encoder_randomaccess_main.cfg	Traffic	37	12	5718.9867	36.6372	38.3841	40.6560	768.550
9	encoder_randomaccess_main.cfg	Traffic	37	13	5718.9867	36.6372	38.3841	40.6560	768.020
9	encoder_randomaccess_main.cfg	Traffic	37	14	5718.9867	36.6372	38.3841	40.6560	767.960
9	encoder_randomaccess_main.cfg	Traffic	37	15	5718.9867	36.6372	38.3841	40.6560	775.820
9	encoder_randomaccess_main.cfg	Traffic	37	16	5718.9867	36.6372	38.3841	40.6560	767.920
9	encoder_randomaccess_main.cfg	Traffic	37	17	5718.9867	36.6372	38.3841	40.6560	769.300
9	encoder_randomaccess_main.cfg	Traffic	37	18	5718.9867	36.6372	38.3841	40.6560	768.270
9	encoder_randomaccess_main.cfg	Traffic	37	19	5718.9867	36.6372	38.3841	40.6560	767.980
9	encoder_randomaccess_main.cfg	Traffic	37	20	5718.9867	36.6372	38.3841	40.6560	766.030
9	encoder_randomaccess_main.cfg	Traffic	37	21	5718.9867	36.6372	38.3841	40.6560	767.840
9	encoder_randomaccess_main.cfg	Traffic	37	22	5718.9867	36.6372	38.3841	40.6560	768.220
9	encoder_randomaccess_main.cfg	Traffic	37	23	5718.9867	36.6372	38.3841	40.6560	767.330
9	encoder_randomaccess_main.cfg	Traffic	37	24	5718.9867	36.6372	38.3841	40.6560	768.920
9	encoder_randomaccess_main.cfg	Traffic	37	25	5718.9867	36.6372	38.3841	40.6560	768.280
9	encoder_randomaccess_main.cfg	Traffic	37	26	5718.9867	36.6372	38.3841	40.6560	768.260
9	encoder_randomaccess_main.cfg	Traffic	37	27	5718.9867	36.6372	38.3841	40.6560	767.800
9	encoder_randomaccess_main.cfg	Traffic	37	28	5718.9867	36.6372	38.3841	40.6560	765.340
9	encoder_randomaccess_main.cfg	Traffic	37	29	5718.9867	36.6372	38.3841	40.6560	766.200
9	encoder_randomaccess_main.cfg	Traffic	37	30	5718.9867	36.6372	38.3841	40.6560	767.260
9	encoder_randomaccess_main.cfg	Traffic	37	31	5718.9867	36.6372	38.3841	40.6560	764.820
9	encoder_randomaccess_main.cfg	BasketballDrive	32	0	3279.2444	36.9503	42.3115	42.0696	437.150
9	encoder_randomaccess_main.cfg	BasketballDrive	32	1	3279.2444	36.9503	42.3115	42.0696	434.800
9	encoder_randomaccess_main.cfg	BasketballDrive	32	2	3279.2444	36.9503	42.3115	42.0696	436.350
9	encoder_randomaccess_main.cfg	BasketballDrive	32	3	3279.2444	36.9503	42.3115	42.0696	436.230
9	encoder_randomaccess_main.cfg	BasketballDrive	32	4	3279.2444	36.9503	42.3115	42.0696	435.930
9	encoder_randomaccess_main.cfg	BasketballDrive	32	5	3279.2444	36.9503	42.3115	42.0696	434.410
9	encoder_randomaccess_main.cfg	BasketballDrive	32	6	3279.2444	36.9503	42.3115	42.0696	435.310
9	encoder_randomaccess_main.cfg	BasketballDrive	32	7	3279.2444	36.9503	42.3115	42.0696	438.860
9	encoder_randomaccess_main.cfg	BasketballDrive	32	8	3279.2444	36.9503	42.3115	42.0696	436.030
9	encoder_randomaccess_main.cfg	BasketballDrive	32	9	3279.2444	36.9503	42.3115	42.0696	434.050
9	encoder_randomaccess_main.cfg	BasketballDrive	32	10	3279.2444	36.9503	42.3115	42.0696	436.080
9	encoder_randomaccess_main.cfg	BasketballDrive	32	11	3279.2444	36.9503	42.3115	42.0696	435.540
9	encoder_randomaccess_main.cfg	BasketballDrive	32	12	3279.2444	36.9503	42.3115	42.0696	436.010
9	encoder_randomaccess_main.cfg	BasketballDrive	32	13	3279.2444	36.9503	42.3115	42.0696	437.400
9	encoder_randomaccess_main.cfg	BasketballDrive	32	14	3279.2444	36.9503	42.3115	42.0696	437.510
9	encoder_randomaccess_main.cfg	BasketballDrive	32	15	3279.2444	36.9503	42.3115	42.0696	434.660
9	encoder_randomaccess_main.cfg	BasketballDrive	32	16	3279.2444	36.9503	42.3115	42.0696	440.160
9	encoder_randomaccess_main.cfg	BasketballDrive	32	17	3279.2444	36.9503	42.3115	42.0696	436.240
9	encoder_randomaccess_main.cfg	BasketballDrive	32	18	3279.2444	36.9503	42.3115	42.0696	436.220
9	encoder_randomaccess_main.cfg	BasketballDrive	32	19	3279.2444	36.9503	42.3115	42.0696	438.100
9	encoder_randomaccess_main.cfg	BasketballDrive	32	20	3279.2444	36.9503	42.3115	42.0696	435.800
9	encoder_randomaccess_main.cfg	BasketballDrive	32	21	3279.2444	36.9503	42.3115	42.0696	435.650
